"pieces","location_id","location_name","item_id","item_code","item_name","company_id","company_name","item_group_id","item_group_name","shopify product id","shopify product variant id","shopify product inventory id","is_bom","is_allocated"
1,1,Finish Goods,46875,URD GOLD,URD GOLD,1,Divinecarat Lifestyles Private Limited,106,Gold,,,,0,0
1,1,Finish Goods,46875,URD GOLD,URD GOLD,1,Divinecarat Lifestyles Private Limited,106,Gold,,,,0,0
1,1,Finish Goods,46875,URD GOLD,URD GOLD,1,Divinecarat Lifestyles Private Limited,106,Gold,,,,0,0
1,1,Finish Goods,46875,URD GOLD,URD GOLD,1,Divinecarat Lifestyles Private Limited,106,Gold,,,,0,0
45,1,Finish Goods,46847,BEEDS,Beeds,1,Divinecarat Lifestyles Private Limited,113,Color Stone,,,,0,0
1,1,Finish Goods,17155,LJ-R00512-18WGLGD-15,Brilliant Oval Cut Prong Set Diamond Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8873296265434,46497107181786,48597523857626,1,0
1,1,Finish Goods,8558,LJ-E00183-18YGLGD,Solitaire Oval Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8967992082650,46667536105690,48768505151706,1,0
1,1,Finish Goods,14246,LJ-R00202-18YGLGD-13,Stackable Pear- Cut Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8839800815834,46376890269914,48477075800282,1,0
1,1,Finish Goods,12370,LJ-R00178-18RGLGD-13,Oval Halo Split Shank Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8838733005018,46373157044442,48473342804186,1,0
1,1,Finish Goods,12667,LJ-R00181-18WGLGD-14,Oval Diamond Pavé Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8855128834266,46440004485338,48540300607706,1,0
1,1,Finish Goods,7260,LJ-E00051-18RGLGD,Emerald and Round-Cut Diamond Hoop Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8835550937306,46364432203994,48464627597530,1,0
1,1,Finish Goods,7574,LJ-E00056-18WGLGD,Elegant emerald cut diamond drop earring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8835551133914,46364433416410,48464628809946,1,0
1,1,Finish Goods,13672,LJ-R00194-18RGLGD-13,Marquise Solitaire Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8847923347674,46412748652762,48513047822554,1,0
1,1,Finish Goods,13840,LJ-R00195-18RGLGD-13,Princess Cut Pave Solitaire Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8840932622554,46380100976858,48480319176922,1,0
1,1,Finish Goods,39412,LJ-BR0014-18RGLGD-7,Pear & Emerald Cut Diamond Delicate Chain Bracelet,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8841003434202,46380328747226,48480553861338,1,0
1,1,Finish Goods,10258,LJ-E00185-14WGLGD,Multi Diamond Floral Earrings,1,Divinecarat Lifestyles Private Limited,101,Diamond Jewellery,8966417187034,46661010358490,48761872089306,1,0
1,1,Finish Goods,40500,LJ-R00505-18WGLGD-13,Round Diamond Anniversary Band,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8905531195610,46552452530394,48652850888922,1,0
1,1,Finish Goods,14288,LJ-R00204-14YGLGD-13,Stackable Round-Cut Solitaire Wedding Ring,1,Divinecarat Lifestyles Private Limited,101,Diamond Jewellery,8847893725402,46412604276954,48512903413978,1,0
1,1,Finish Goods,14162,LJ-R00201-18YGLGD-13,Stackable Emerald-Cut Wedding Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8839799734490,46376884502746,48477070033114,1,0
1,1,Finish Goods,17534,LJ-R00507-14WGLGD-14,Marquise Diamond Bezel Set Eternity Band,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8904849227994,46549617574106,48650011246810,1,0
1,1,Finish Goods,10066,LJ-E00178-14WGLGD,Emerald Cut Diamond Bezel Set Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8905506423002,46552344297690,48652742656218,1,0
1,1,Finish Goods,22546,LJ-R00460-14YGLGD-14,Four-Prong Cushion Cut Diamond Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8860991422682,46458557661402,48558726709466,1,0
1,1,Finish Goods,46833,LJ-E00521-14YGLGD,Statuesque Oval Solitaire Stud Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,9175022797018,47616131891418,49722131906778,1,0
1,1,Finish Goods,9214,LJ-E00167-14WGLGD,Bezel Set Hexagon Diamond Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8868730568922,46483244253402,48583521370330,1,0
1,1,Finish Goods,41982,LJ-R00456-14WGLGD-12,Sleek Emerald Cut Bezel Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8904875966682,46549700542682,48650094215386,1,0
1,1,Finish Goods,46827,LJ-E00519-14WGLGD,Regent Round Solitaire Stud Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,,,,1,0
1,1,Finish Goods,1813,LJ-R00211-14RGLGD-13,Pear Solitaire Bezel-Set Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8887816323290,46523180220634,48623652798682,1,0
1,1,Finish Goods,1642,LJ-R00200-14RGLGD-10,Round Diamond Bypass Solitaire Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8847893594330,46412601295066,48512900432090,1,0
1,1,Finish Goods,1893,LJ-R00203-14RGLGD-9,Oval Halo  Ring with Split Shank,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8847783657690,46411180638426,48511479775450,1,0
1,1,Finish Goods,1729,LJ-R00174-14RGLGD-13,Round Solitaire Swirl Engagement Ring,1,Divinecarat Lifestyles Private Limited,101,Diamond Jewellery,8847892840666,46412597067994,48512896205018,1,0
1,1,Finish Goods,2317,LJ-R00168-14YGLGD-13,Marquise and Emerald Toi et Moi Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8857525387482,46446557528282,48546812297434,1,0
1,1,Finish Goods,12802,LJ-R00184-14WGLGD-11,Princess Diamond Twisted Pavé Engagement Ring,1,Divinecarat Lifestyles Private Limited,101,Diamond Jewellery,8895794413786,46534632440026,48635109408986,1,0
1,1,Finish Goods,7666,LJ-E00058-14RGLGD,Chainline Oval Diamond Dangle Earrings,1,Divinecarat Lifestyles Private Limited,101,Diamond Jewellery,8835551264986,46364433907930,48464629301466,1,0
1,1,Finish Goods,8363,LJ-E00071-14RGLGD,Floating Halo Round Diamond Stud Earrings,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8835550675162,46364430827738,48464626221274,1,0
1,1,Finish Goods,11959,LJ-R00173-14YGLGD-12,Round Solitaire Vintage Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8857117786330,46445195788506,48545456455898,1,0
1,1,Finish Goods,41863,LJ-TN00017-14YGLGD,Minimalist Oval Diamond Mangalsutra,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,,,,1,0
1,1,Finish Goods,46876,LJ-PD0316-18RGLGD,Open Heart Pear Diamond Pendant,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,9025021608154,46878657183962,48981161476314,1,0
1,1,Finish Goods,14219,LJ-R00202-14RGLGD-14,Stackable Pear- Cut Engagement Ring,2,Chembur Mumbai CoCo Store,101,Diamond Jewellery,8839800815834,46376889385178,48477074915546,1,0
